symbol	capability (as its witness states it)
⊕APCA-CROSSCHECK	APCA is implemented and cross-checked (:3743)
⊕APERTURE-FIELD	the matrix field is an aperture integral: ApertureField.qml grades every pip by a backdrop's coverage (prefix sums, no shader), the marquee paints its cells into that backdrop and scrolls by offset, the viewport is offsetY, and check_aperture holds the floor / halfway / lit relation on seen pixels (:7590)
⊕BLOOM	every segment surface blooms by BLURRING a lit-only layer (MultiEffect, gated by config bloom), never the ghost (:2567)
⊕CHROME-THEME	a valid Chrome manifest per variant from the scheme tokens (:2706)
⊕CONTRAST-STRETCH	the lit stretch survives as cvd_gate.stretch_lit (:2487)
⊕CURSOR-INHERIT	make_inherit.cursor_index: a cursor theme that inherits Breeze cursors by ground, selected by the LnF defaults [kcminputrc][Mouse] (:2806)
⊕DOT	the dot-matrix display component exists (:1002)
⊕DOT-FONT	the matrix glyph table drives a font: matrix_contours over MatrixDisplay.glyph (:1068)
⊕DOT-FONT-DESC	FONT5x8 with lowercase whose g j p q y descend below a declared baseline line, built into a TTF with negative descent (:1496)
⊕DOT-FONT-TTF	one build_ttf over a contour source; build_matrix_ttf is a thin wrapper (:1425)
⊕GHOST-DENSITY	check_ghost_composite.measure_formats gives the unlit field's cell coverage at 7/14/16/22 from the substrate geometry and measure_matrix the dot field's; --matrix reports both beside the stroke ghost per variant (:4459)
⊕GLANCE-AUDIT	the glance audit runs each variant against its parsing-mode floor (:3652)
⊕GTK	gtk/<id>/gtk{3,4}.css emit, every name a documented libadwaita one, values the palette's, bg/fg pairs gated (:683)
⊕ICONS-INHERIT	make_inherit.icon_index: an icon theme that inherits breeze(-dark) with FollowsColorScheme, selected by the LnF defaults [kdeglobals][Icons] (:2774)
⊕KONSOLE	the Konsole scheme + profile emit and read back through the one ansi table (:2846)
⊕KVT	the Kvantum recolour: a KvFlat mapper plus the elprogress family (KvFlat itself is EXTERNAL) (:612)
⊕LOCKSCREEN	the lock screen mounts the live wallpaper (:3001)
⊕MATRIX-FONT-INPUT	display_types.font_extension rasterises a build-time font (make_notify_marquee.matrix_font, the decision recorded) into the 5x8 table for Latin-1 beyond the authored glyphs; the board falls back to '?'; check_matrix_input measures (:4534)
⊕NOTIFY-CAPABILITIES	the marquee reads urgency, transient, actions and job progress from the host's model (its contract measured by check_notify_roles), paints critical in the hot token and a job's history as a gauge, and a tap on an action run reaches invokeAction — catalog/notify-capabilities.md row by row (:7640)
⊕NOTIFY-MARQUEE	a matrix-rendered notification ticker plasmoid per variant (:3542)
⊕NOTIFY-MATRIXRENDER	the marquee draws its cells off the emitted registry's 5x8 display — since W54 as a backdrop behind an ApertureField — and check_display_registry round-trips that emission against the substrate (:4524)
⊕NOTIFY-SEGRENDER	the ticker renders in the actual dot-matrix primitive (the field's round pips off the registry's 5x8 display), not monospace Text — the s65-corrected form (:3568)
⊕ONE-THEME	every shipped QML surface (switcher, marquee, clock, live wallpaper) binds Kirigami.Theme's View roles instead of baked holes and ships as ONE package; legacy ids alias it and a one-shot update migrates a user's containments; the LnF stays the selector (catalog/one-theme.md) (:6603)
⊕PANEL-LAYOUT	the LnF layout.js builds a bottom panel with kickoff, pager, icontasks, the system tray and the EL clock — richer than wallpaper+clock (:2785)
⊕PARAMETRIC-PALETTE	the solver derives the scheme from the relations (:3894)
⊕PLYMOUTH	the boot splash renders the substrate's digits per variant (:3331)
⊕PLYMOUTH-VECTOR	the boot splash is drawn at the screen's size: the emitted .script scales the oversampled assets by Window.GetHeight and lays them out at the module pitch (:4228)
⊕QML-SANITY	every staged .qml goes through Qt's qmllint, gated on error ids (:4318)
⊕RENDER-GATE	make_deb renders the clock and live wallpaper headless and requires lit pixels (:4545)
⊕SDDM	an SDDM greeter theme per variant (make_sddm -> /usr/share/sddm/themes/el-openglo-*, W66); the el-openglo-sddm Breeze-background helper is the secondary route (:3074)
⊕SEG-DOTPRODUCT-TEMPLATES	glyph_match._arc_field bends the outer strokes to an arc; SAGITTA is solved by calibrate_projection --arcs (inward), and the round class is measured against it by --classes (:5204)
⊕SEG-FONT	an SVG font whose glyphs are the union of the substrate's lit segments (:1252)
⊕SEG-FONT-PROJECT	make_glyph_ink ingests native TTF outlines through fontTools and validate_projection runs over every authored key by default, the convention-gap glyphs pinned in KNOWN_CONVENTION (:4644)
⊕SEG-FONT-TTF	TTFs built natively from glyph_contours via fontTools, orientation gated on glyf (:1366)
⊕SEG-PROJECT-CALIBRATE	glyph_match.calibrate_projection solves frame x band by agreement over the authored table; SW_BAND is its argmax, not a hand-set 0.7 (:4631)
⊕SEG-TABLE-VALIDATE	glyph_match.validate_projection cross-checks the projection against the authored table per glyph, and check_projection runs it and requires distinct projections (:4632)
⊕SEG22	the 22-seg geometry is the 16-seg lattice plus six additions (:1576)
⊕SEG22-DESCENDERS	segment_topology.LETTERS22 (26 lowercase over SEG22, g j p q y on dl/dc/dr, DESCENDER_GLYPHS, glyph22) with its arms in the substrate selftest, validated at 22 by check_projection on the lowercase frame (:4455)
⊕SOLVER-PERF	make_schemes._solved_grid solves the whole grid once and caches it under a content stamp over the solver's sources (.palette-cache.json), bypassed by EL_NO_PALETTE_CACHE (:4182)
⊕SOLVER-UI-TOKENS	no RGB literal in solve_scheme's token dict, and the hover/selection states are solved by solve_state_steps, not authored nudges (:3928)
⊕SPLASH	the LnF splash reads progress and the palette's ghost (:2910)
⊕STROKE-WEIGHT	every segment surface draws the lit stroke thicker than the ghost stroke (T_lit/T_ghost > 1 at weight=1, read from the emitted QML) (:2646)
⊕SUPERSAMPLE-WP	the wallpaper PNG is rasterised above its served resolution (cairosvg at 2560x1440 for a 1920x1080 wallpaper) from an SVG carrying a Gaussian glow filter — the two halves of the deferral (:2583)
⊕TASKSWITCH	make_taskswitch emits ONE KWin/WindowSwitcher package (lit selection, ghost rest, void ground — the active scheme's roles since W35) selected by [kwinrc][TabBox] LayoutName; policy/taskswitch.rego holds the structure, the id, the root, the lint and the bindings (:2787)
⊕VER-CLOCK-TIME	the clock advances by a Timer (:2184)
⊕VER-PREVIEW	the Global Theme previews render from the scheme (:1918)
⊕VER-WIDGET-ICON	the plasmoid icon is a lit '12' over its ghost from the substrate (:2058)
⊕WALLPAPER-LIVE	a Plasma/Wallpaper package per variant from the live template (:3440)
⊕WALLPAPER-VECTOR	the wallpaper is an SVG from the substrate, not a raster (:4233)
